heuristic_a,heuristic_b,wins_a,wins_b,draws,games,win_pct_a,win_pct_b,avg_moves
h1,h2,32,61,7,100,32.0,61.0,43.33
h1,h3,38,53,9,100,38.0,53.0,44.29
h1,h4,49,42,9,100,49.0,42.0,40.98
h1,h5,26,64,10,100,26.0,64.0,44.28
h1,h6,37,59,4,100,37.0,59.0,40.61
h2,h3,54,42,4,100,54.0,42.0,43.39
h2,h4,51,45,4,100,51.0,45.0,43.63
h2,h5,39,40,21,100,39.0,40.0,43.51
h2,h6,46,42,12,100,46.0,42.0,34.93
h3,h4,47,47,6,100,47.0,47.0,41.29
h3,h5,28,57,15,100,28.000000000000004,56.99999999999999,43.45
h3,h6,44,45,11,100,44.0,45.0,36.24
h4,h5,32,56,12,100,32.0,56.00000000000001,43.39
h4,h6,48,47,5,100,48.0,47.0,35.55
h5,h6,42,49,9,100,42.0,49.0,42.40

overall_rank,heuristic,wins,losses,draws,win_pct
,h5,259,174,67,51.80
,h2,251,201,48,50.20
,h6,242,217,41,48.40
,h3,214,241,45,42.80
,h4,214,250,36,42.80
,h1,182,279,39,36.40
